PO Date,Brand Name,Material Family,Bill Qty
1/2/2024,PHILIPS,Lamps,3
1/2/2024,GE LAMPS,Lamps,35
1/2/2024,VISUAL WORKPLACE INC.,Boards and Easels,1
1/2/2024,KLEIN TOOLS,Screwdrivers and Nut Drivers,1
1/2/2024,GENIE,Lab Equipment,1
1/2/2024,KRYLON,Spray Paints and Primers,6
1/2/2024,APPROVED VENDOR,Conduit Mounting,2
1/2/2024,GE LAMPS,Lamps,40
1/2/2024,GRAINGER,Air Filters,89
1/3/2024,WESTWARD,"Sockets, Bits, and Socket Drive Tools",1
1/3/2024,HUBBELL WIRING DEVICE-KELLEMS,Conduit Fittings,30
1/3/2024,DAYTON,Power Transmission Belts,2
1/3/2024,DEWALT,Fastening Tools and Accessories,1
1/4/2024,FLUKE,Temperature and Humidity Measuring,3
1/4/2024,ANSELL,Gloves and Hand Protection,10
1/4/2024,WEILER,Sanding Discs and Kits,20
1/4/2024,APPROVED VENDOR,Rags and Wipes,8
1/4/2024,DAYTON,Power Transmission Belts,4
1/4/2024,FLUKE,Electrical Power Testing,2
1/4/2024,MAXLITE,Lamps,32
1/4/2024,GROZ,Job Site Lighting,3
1/5/2024,APPROVED VENDOR,Pipe Fittings and Couplings,6
1/5/2024,WEILER,Sanding Discs and Kits,50
1/5/2024,BOSCH,Drilling Accessories,1
1/5/2024,ENERGIZER,Batteries,1
1/8/2024,MILWAUKEE VALVE,Check Valves and Backflow Preventers,1
1/8/2024,SQWINCHER,Portable Coolers and Beverages,2
1/8/2024,MILWAUKEE,Fastening Tools and Accessories,1
1/8/2024,TACO,Pump Controls,2
1/8/2024,ANNIN FLAGMAKERS,"Flags, Flag Poles, and Accessories",2
1/8/2024,MONOPRICE,Data and Communication,10
1/8/2024,DAYTON,HVAC Motors,1
1/8/2024,DAYTON,Power Transmission Belts,15
1/8/2024,DAYTON,Power Transmission Belts,2
1/8/2024,COMPASS,Emergency Lighting and Exit Signs,6
1/8/2024,AMERICAN STANDARD,"Toilets, Urinals and Repair Parts",5
1/8/2024,MONOPRICE,Data and Communication,7
1/8/2024,GRAINGER,Air Filters,89
1/8/2024,PROTO,Fastening Tools and Accessories,2
1/9/2024,KORKY,"Toilets, Urinals and Repair Parts",12
1/10/2024,CENTOCO,"Toilets, Urinals and Repair Parts",12
1/11/2024,BLUE MONSTER,Threadlockers and Gasket Sealants,2
1/11/2024,STANLEY,"Staplers, Tackers, and Accessories",1
1/11/2024,APPROVED VENDOR,"Knives, Hand Saws and Cutting Tools",1
1/11/2024,QUARTET,Boards and Easels,1
1/11/2024,SNAP-LOC,"Panel, Bar and Pipe, and Bucket Trucks",12
1/11/2024,SHOWA,Gloves and Hand Protection,3
1/12/2024,KLEIN TOOLS,Pliers,1
1/12/2024,ADVANCE,Ballasts and Drivers,-2
1/12/2024,GERBER,"Knives, Hand Saws and Cutting Tools",1
1/12/2024,MILWAUKEE,Screwdrivers and Nut Drivers,1
1/16/2024,DIVERSITECH,A/C Refrigeration and Accessories,1
1/16/2024,GRAINGER,"Wet Mops, Squeegees, and Buckets",34
1/16/2024,GRAINGER,Air Filters,48
1/16/2024,APPROVED VENDOR,Pipe Fittings and Couplings,30
1/16/2024,UNGER,Janitorial Carts and Supply Holders,2
1/16/2024,APPROVED VENDOR,Anchors,1
1/16/2024,LITTELFUSE,Fuses,20
1/16/2024,GRAINGER,Tapes,15
1/16/2024,BRYANT,Plugs and Receptacles,15
1/16/2024,APPROVED VENDOR,Washers,1
1/16/2024,ARMSTRONG,Ceiling Tiles and Accessories,2
1/17/2024,APPROVED VENDOR,Screws,1
1/17/2024,CRC,Automotive Chemicals,10
1/17/2024,GE,Starters and Contactors,1
1/17/2024,KESON,Measuring and Layout Tools,3
1/17/2024,DAYTON,Power Transmission Belts,12
1/17/2024,RIB,Relays,-3
1/17/2024,APPROVED VENDOR,Drilling and Holemaking,1
1/18/2024,FERNCO,Pipe Fittings and Couplings,10
1/18/2024,GE LAMPS,Lamps,276
1/18/2024,FLUKE,Temperature and Humidity Measuring,1
1/18/2024,RUBBERMAID COMMERCIAL PRODUCTS,Shelf and Utility Carts,2
1/19/2024,WESTWARD,Wrenches,0
1/19/2024,METRO,Shelving and Storage Racks,8
1/19/2024,APPROVED VENDOR,Pipe Fittings and Couplings,25
1/19/2024,BELL,Electrical Boxes,8
1/19/2024,LIQUID NAILS,Adhesives and Glues,4
1/22/2024,SPEEDAIRE,Pneumatic Hose Fittings and Couplings,1
1/22/2024,DAYTON,Power Transmission Belts,2
1/22/2024,WATTS,HVAC Controls and Thermostats,4
1/22/2024,KOHLER,"Toilets, Urinals and Repair Parts",1
1/22/2024,MILWAUKEE,Electrical Tools,1
1/22/2024,GOJO,Personal Care Products,3
1/22/2024,GRAINGER,Air Filters,-12
1/22/2024,HAM-LET,Tube Fittings,0
1/23/2024,FULHAM,Ballasts and Drivers,3
1/23/2024,GRAINGER,Trash Bags,10
1/23/2024,MCR SAFETY,Gloves and Hand Protection,4
1/23/2024,LENOX,Power Saws and Accessories,5
1/23/2024,INTERMATIC,Switches,15
1/24/2024,JB INDUSTRIES,Air Conditioners and Accessories,3
1/24/2024,APPROVED VENDOR,"Clips, Push Pins, and Rubber Bands",1
1/24/2024,APPROVED VENDOR,"Knives, Hand Saws and Cutting Tools",1
1/24/2024,DIAMOND CRYSTAL,Water Treatment,27
1/24/2024,APPROVED VENDOR,"Document Covers, Displays, and Frames",5
1/24/2024,PHILIPS,Lamps,0
1/24/2024,APPROVED VENDOR,Labware,1
1/26/2024,TOMCAT,Insect and Pest Control,4
1/26/2024,CONDOR,Respiratory,4
1/26/2024,CENTOCO,"Toilets, Urinals and Repair Parts",4
1/26/2024,JOHNSON LEVEL,Measuring and Layout Tools,1
1/29/2024,MONOPRICE,Data and Communication,50
1/29/2024,APPROVED VENDOR,Pipe and Tubing,5
1/29/2024,WEILER,Sanding Discs and Kits,14
1/29/2024,PREMIER,"Brushes, Rollers, and Trays",5
1/29/2024,WERNER,"Ladders, Platforms and Scaffolding",3
1/29/2024,WINTERS,Pressure and Vacuum Measuring,1
1/29/2024,3M AQUA-PURE,Filtration,1
1/29/2024,MAXLITE,Lamps,31
1/29/2024,MILWAUKEE,"Knives, Hand Saws and Cutting Tools",2
1/30/2024,RACO,Electrical Boxes,50
1/30/2024,STONCO,Outdoor Area Fixtures,10
1/30/2024,ITW BUILDEX,Anchors,8
1/31/2024,WHITE-RODGERS,HVAC Controls and Thermostats,4
1/31/2024,GRAINGER,Wire Management,1
